//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440526.27999451,4464034.44000427,6.13999987,8,255,0,5.000000,19.000000,373289.156250,63.000000,1.000000
440532.27000000,4464034.70999329,7.44999981,64,255,0,5.000000,23.000000,373286.937500,63.000000,1.000000
440528.19999268,4464037.20999329,6.30999994,15,255,0,5.000000,24.000000,373290.843750,63.000000,1.000000
440530.99999573,4464033.29999725,5.11000013,0,219,35,5.000000,19.000000,373288.250000,63.000000,1.000000
440531.02000000,4464033.19999878,5.19000006,0,222,32,5.000000,17.000000,373288.656250,63.000000,1.000000
440531.54999878,4464034.27000610,7.13000011,50,255,0,5.000000,31.000000,373285.343750,63.000000,1.000000
440530.35000183,4464036.63000671,8.56000042,112,255,0,5.000000,23.000000,373287.562500,63.000000,1.000000
440528.92998840,4464036.50999634,7.32999992,59,255,0,5.000000,23.000000,373287.843750,63.000000,1.000000
440531.44999268,4464037.72000305,6.34000015,16,255,0,5.000000,3.000000,373288.156250,63.000000,1.000000
440527.78998901,4464035.67999451,6.76999998,35,255,0,5.000000,3.000000,373288.843750,63.000000,1.000000
440529.61999084,4464038.08999817,4.90000010,0,210,44,5.000000,16.000000,373292.468750,63.000000,1.000000
440527.56998779,4464039.03000061,7.88999987,83,255,0,6.000000,9.000000,373369.187500,63.000000,1.000000
440530.97999146,4464036.33000366,6.73999977,33,255,0,6.000000,14.000000,373372.406250,63.000000,1.000000
440533.54999878,4464036.58999817,4.59000015,0,196,58,4.000000,5.000000,373247.531250,63.000000,1.000000
440531.88999512,4464039.09999268,6.32999992,16,255,0,5.000000,27.000000,373286.062500,63.000000,1.000000
440531.75999023,4464032.47999756,6.57000017,26,255,0,5.000000,21.000000,373287.750000,63.000000,1.000000
440530.02000000,4464033.40999786,6.01000023,2,255,0,6.000000,29.000000,373368.812500,50.000000,1.000000
440533.38000061,4464037.17000000,3.68000007,0,157,97,5.000000,25.000000,373286.156250,63.000000,1.000000
440534.07999756,4464037.36999695,3.61999989,0,154,100,5.000000,8.000000,373289.843750,63.000000,1.000000
440531.90999939,4464032.94999878,6.15999985,8,255,0,5.000000,22.000000,373290.656250,63.000000,1.000000
440530.72999146,4464032.35000031,5.38000011,0,230,24,6.000000,25.000000,373370.000000,63.000000,1.000000
440533.38999512,4464036.94999878,4.51999998,0,193,61,5.000000,29.000000,373285.343750,59.000000,1.000000
440527.91999390,4464038.44000427,6.55999994,26,255,0,5.000000,31.000000,373285.937500,63.000000,1.000000
440532.65999939,4464037.00999634,4.80999994,0,206,48,5.000000,25.000000,373286.437500,63.000000,1.000000
440532.38999512,4464036.11999695,6.28000021,14,255,0,5.000000,23.000000,373286.843750,63.000000,1.000000
440533.65999939,4464037.03000061,4.80999994,0,206,48,5.000000,5.000000,373287.156250,63.000000,1.000000
440526.30999329,4464036.25000183,6.80999994,36,255,0,5.000000,27.000000,373287.437500,63.000000,1.000000
440529.35999634,4464036.99000732,5.69999981,0,244,10,5.000000,7.000000,373287.750000,63.000000,1.000000
440530.39998962,4464038.44000427,6.65000010,29,255,0,5.000000,5.000000,373287.937500,63.000000,1.000000
440526.44999268,4464033.78999512,5.82999992,0,249,5,5.000000,7.000000,373288.250000,63.000000,1.000000
440525.85000183,4464034.24000732,5.96999979,0,255,0,5.000000,17.000000,373289.656250,63.000000,1.000000
440533.56998779,4464036.03000061,3.75000000,0,160,94,5.000000,24.000000,373289.937500,63.000000,1.000000
440531.68999817,4464038.92999451,6.44000006,20,255,0,5.000000,8.000000,373290.156250,63.000000,1.000000
440527.86999084,4464034.33999817,5.82000017,0,249,5,5.000000,26.000000,373290.562500,63.000000,1.000000
440526.94999268,4464036.17999451,5.32000017,0,228,26,5.000000,8.000000,373291.156250,63.000000,1.000000
440527.95998718,4464038.58000366,6.90000010,41,255,0,6.000000,19.000000,373370.812500,63.000000,1.000000
440527.65999939,4464037.28000061,6.48000002,23,255,0,6.000000,28.000000,373372.093750,63.000000,1.000000
440530.14998962,4464033.67999451,4.98999977,0,213,41,6.000000,8.000000,373373.687500,63.000000,1.000000
440528.80999329,4464039.27000610,5.88000011,0,252,2,4.000000,11.000000,373244.937500,63.000000,1.000000
440529.20998718,4464039.72999756,6.61999989,29,255,0,5.000000,9.000000,373287.156250,63.000000,1.000000
440529.90999939,4464039.19000427,6.01000023,2,255,0,5.000000,28.000000,373289.656250,63.000000,1.000000
440528.90999939,4464039.47000305,6.63999987,29,255,0,5.000000,20.000000,373291.656250,60.000000,1.000000
440526.85999634,4464040.06999390,5.82000017,0,249,5,6.000000,23.000000,373369.406250,63.000000,1.000000
440531.20998718,4464037.83999817,7.07999992,48,255,0,4.000000,7.000000,373246.531250,63.000000,1.000000
440531.02000000,4464037.56999390,7.34000015,59,255,0,5.000000,13.000000,373285.843750,61.000000,1.000000
440534.94999268,4464035.33999817,6.34999990,17,255,0,5.000000,17.000000,373287.937500,63.000000,1.000000
440531.60999634,4464036.59999268,7.01999998,46,255,0,5.000000,12.000000,373289.343750,63.000000,1.000000
440528.10999634,4464035.20999329,8.60000038,113,255,0,5.000000,26.000000,373290.343750,63.000000,1.000000
440532.63999512,4464033.97000305,6.53999996,25,255,0,6.000000,9.000000,373370.406250,63.000000,1.000000
440532.27000000,4464033.18000214,6.96999979,44,255,0,5.000000,19.000000,373288.062500,63.000000,1.000000
440529.38000061,4464033.40999786,8.88000011,125,255,0,5.000000,20.000000,373291.343750,61.000000,1.000000
440527.69999268,4464033.30999939,8.14000034,94,255,0,6.000000,9.000000,373369.406250,63.000000,1.000000
440528.86999084,4464033.23999969,8.27000046,99,255,0,6.000000,7.000000,373370.187500,63.000000,1.000000
440531.89998962,4464032.86999695,6.55999994,26,255,0,6.000000,3.000000,373371.687500,63.000000,1.000000
440530.13999512,4464035.33000366,7.30999994,58,255,0,4.000000,17.000000,373248.125000,63.000000,1.000000
440533.93999817,4464034.74000732,7.73000002,76,255,0,5.000000,13.000000,373285.343750,61.000000,1.000000
440529.49000122,4464035.39000122,6.90000010,41,255,0,5.000000,31.000000,373285.750000,63.000000,1.000000
440530.10000183,4464034.13000671,8.64999962,115,255,0,5.000000,13.000000,373286.062500,62.000000,1.000000
440529.02000000,4464033.86000244,8.40999985,105,255,0,5.000000,13.000000,373286.250000,61.000000,1.000000
440531.02000000,4464037.84999268,7.26999998,56,255,0,5.000000,11.000000,373286.343750,63.000000,1.000000
440527.53998901,4464037.86000244,7.65999985,73,255,0,5.000000,29.000000,373286.562500,61.000000,1.000000
440532.74000122,4464035.86999695,6.55999994,26,255,0,5.000000,7.000000,373286.750000,63.000000,1.000000
440532.25999023,4464034.49000732,7.19999981,53,255,0,5.000000,7.000000,373286.937500,63.000000,1.000000
440529.55999329,4464037.91000549,7.03000021,46,255,0,5.000000,9.000000,373287.062500,63.000000,1.000000
440530.68999817,4464035.70999329,6.67999983,31,255,0,5.000000,7.000000,373287.250000,63.000000,1.000000
440532.52999451,4464034.83000366,7.69999981,75,255,0,5.000000,21.000000,373287.562500,63.000000,1.000000
440527.24999573,4464036.70999329,7.40000010,62,255,0,5.000000,9.000000,373287.750000,63.000000,1.000000
