//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440470.85000183,4464072.39000122,3.17000008,0,135,119,5.000000,4.000000,373302.062500,56.000000,1.000000
440470.97999146,4464072.11999695,2.69000006,0,115,139,5.000000,26.000000,373300.781250,63.000000,1.000000
440471.11999084,4464072.08999817,6.01000023,2,255,0,4.000000,1.000000,373236.031250,63.000000,1.000000
440469.68999817,4464075.00999634,5.78999996,0,248,6,4.000000,22.000000,373238.125000,63.000000,1.000000
440470.28998901,4464074.84999268,5.76000023,0,246,8,5.000000,25.000000,373297.656250,63.000000,1.000000
440470.85000183,4464074.91000549,6.21999979,11,255,0,4.000000,15.000000,373232.531250,63.000000,1.000000
440469.55999329,4464074.70999329,5.63999987,0,241,13,4.000000,26.000000,373237.125000,63.000000,1.000000
440469.38999512,4464073.78000061,5.38000011,0,230,24,4.000000,31.000000,373232.312500,63.000000,1.000000
440470.22999146,4464073.55000488,5.88000011,0,252,2,4.000000,27.000000,373233.218750,63.000000,1.000000
440469.56998779,4464072.89000122,4.80999994,0,206,48,4.000000,21.000000,373234.531250,63.000000,1.000000
440469.77999451,4464074.39999573,5.57000017,0,238,16,4.000000,1.000000,373235.718750,63.000000,1.000000
440470.14998962,4464074.97000305,6.00000000,2,255,0,4.000000,24.000000,373237.718750,63.000000,1.000000
440470.70998718,4464075.02000610,6.01999998,2,255,0,5.000000,31.000000,373296.281250,63.000000,1.000000
440471.06998779,4464074.81999390,6.21999979,11,255,0,5.000000,13.000000,373296.656250,55.000000,1.000000
440470.46999695,4464074.67000000,5.90000010,0,252,2,5.000000,14.000000,373299.875000,63.000000,1.000000
440470.13999512,4464074.92000000,5.61999989,0,240,14,5.000000,24.000000,373301.281250,63.000000,1.000000
440470.64998962,4464073.06999390,5.38000011,0,230,24,5.000000,6.000000,373301.781250,63.000000,1.000000
440470.30999329,4464075.16000549,6.05000019,4,255,0,5.000000,4.000000,373302.062500,57.000000,1.000000
440470.38000061,4464073.89000122,5.94999981,0,255,0,5.000000,16.000000,373303.156250,63.000000,1.000000
440470.66999390,4464072.66000549,6.28999996,14,255,0,4.000000,1.000000,373235.937500,63.000000,1.000000
440470.89998962,4464072.80000488,6.55999994,26,255,0,4.000000,9.000000,373233.812500,63.000000,1.000000
440470.85000183,4464072.83000366,6.55000019,26,255,0,4.000000,24.000000,373237.937500,63.000000,1.000000
440471.96999695,4464074.81999390,8.13000011,93,255,0,4.000000,27.000000,373233.531250,63.000000,1.000000
440476.58999207,4464072.74000732,6.11000013,6,255,0,4.000000,28.000000,373238.125000,63.000000,1.000000
440472.69999268,4464072.94000427,6.92000008,41,255,0,5.000000,21.000000,373298.062500,63.000000,1.000000
440472.68999817,4464073.25999634,7.34999990,59,255,0,5.000000,13.000000,373296.468750,57.000000,1.000000
440474.96999695,4464077.92000000,4.36999989,0,186,68,4.000000,30.000000,373237.218750,63.000000,1.000000
440474.83999207,4464069.39999573,6.23999977,12,255,0,5.000000,10.000000,373299.968750,63.000000,1.000000
440477.27999451,4464076.53999512,4.78000021,0,204,50,4.000000,18.000000,373240.531250,100.000000,1.000000
440472.14998962,4464072.03999512,7.48000002,65,255,0,4.000000,27.000000,373233.625000,63.000000,1.000000
440473.85999634,4464076.11000244,8.06999969,91,255,0,4.000000,9.000000,373234.437500,63.000000,1.000000
440475.27999451,4464071.61999695,7.05000019,47,255,0,4.000000,21.000000,373235.937500,63.000000,1.000000
440472.93999817,4464076.56999390,6.51000023,23,255,0,4.000000,14.000000,373236.718750,63.000000,1.000000
440476.00999023,4464072.81999390,8.35999966,103,255,0,4.000000,30.000000,373237.531250,63.000000,1.000000
440475.21999695,4464069.30000488,6.46000004,21,255,0,4.000000,10.000000,373238.437500,63.000000,1.000000
440477.24999573,4464073.64000122,8.30000019,100,255,0,5.000000,29.000000,373295.562500,56.000000,1.000000
440474.88999512,4464069.47999756,6.42000008,20,255,0,5.000000,7.000000,373297.468750,63.000000,1.000000
440474.00999023,4464070.50999634,7.55999994,69,255,0,5.000000,12.000000,373299.781250,63.000000,1.000000
440476.60000183,4464070.28000061,7.71000004,75,255,0,5.000000,22.000000,373300.562500,63.000000,1.000000
440474.63000061,4464069.13000671,5.84999990,0,250,4,5.000000,4.000000,373301.468750,59.000000,1.000000
440472.63000061,4464070.19999878,6.40999985,19,255,0,6.000000,0.000000,373364.906250,63.000000,1.000000
