//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440395.09999420,4463991.55999939,4.26999998,0,183,71,6.000000,31.000000,373345.500000,0.000000,1.000000
440398.42999603,4463990.98999969,3.48000002,0,148,106,6.000000,18.000000,373350.093750,1.000000,1.000000
440400.74999573,4463996.72999756,5.82999992,0,249,5,5.000000,12.000000,373314.968750,63.000000,1.000000
440402.14999725,4463995.58000366,8.10000038,92,255,0,5.000000,27.000000,373311.468750,63.000000,1.000000
440397.24999573,4463994.62999908,8.34000015,102,255,0,6.000000,22.000000,373349.093750,1.000000,1.000000
440401.53999664,4463994.72999756,8.22999954,97,255,0,6.000000,26.000000,373349.281250,1.000000,1.000000
440399.39999725,4463996.36000244,4.59999990,0,197,57,5.000000,21.000000,373313.250000,63.000000,1.000000
440396.29999115,4463991.29999725,4.75000000,0,203,51,6.000000,31.000000,373345.687500,1.000000,1.000000
440396.55999329,4463996.03000061,6.96000004,43,255,0,6.000000,23.000000,373346.906250,1.000000,1.000000
440395.22999146,4463992.22000305,5.01999998,0,215,39,6.000000,28.000000,373348.000000,0.000000,1.000000
440398.69999268,4463996.93000214,8.39000034,104,255,0,5.000000,31.000000,373311.250000,63.000000,1.000000
440396.22999146,4463995.68999664,7.53000021,68,255,0,5.000000,5.000000,373313.843750,63.000000,1.000000
440399.36999084,4463997.01999847,8.43000031,106,255,0,5.000000,28.000000,373315.156250,63.000000,1.000000
440396.90999176,4463994.47000305,7.78999996,79,255,0,6.000000,15.000000,373345.906250,0.000000,1.000000
440397.33999207,4463995.67000000,8.28999996,100,255,0,6.000000,27.000000,373346.500000,1.000000,1.000000
440399.91999390,4463992.43999664,7.80999994,80,255,0,6.000000,29.000000,373346.781250,1.000000,1.000000
440401.24999573,4463996.64000122,7.86999989,82,255,0,6.000000,11.000000,373347.187500,1.000000,1.000000
440399.97999146,4463996.80999939,8.64000034,115,255,0,6.000000,7.000000,373347.500000,1.000000,1.000000
440397.68999817,4463996.44999878,8.02999973,88,255,0,6.000000,17.000000,373347.781250,1.000000,1.000000
440396.55999329,4463994.40999786,7.28000021,56,255,0,6.000000,26.000000,373348.406250,1.000000,1.000000
440399.44999268,4463992.86999695,8.77999973,121,255,0,6.000000,28.000000,373348.687500,0.000000,1.000000
440400.36999084,4463997.00000183,8.35999966,103,255,0,6.000000,26.000000,373349.093750,1.000000,1.000000
440396.93999817,4463992.90000336,5.46999979,0,234,20,6.000000,18.000000,373349.687500,1.000000,1.000000
440402.38999512,4463995.54000275,7.65000010,73,255,0,6.000000,16.000000,373350.906250,1.000000,1.000000
440400.61999084,4463997.11999695,6.86000013,38,255,0,5.000000,12.000000,373314.968750,63.000000,1.000000
440396.85999634,4463996.08000366,5.40000010,0,231,23,5.000000,13.000000,373311.968750,54.000000,1.000000
440399.66999390,4463996.07000153,5.44999981,0,233,21,5.000000,23.000000,373312.750000,63.000000,1.000000
440396.98999359,4463996.30999939,5.84999990,0,250,4,5.000000,7.000000,373313.250000,63.000000,1.000000
440396.76999237,4463996.00999634,6.05999994,4,255,0,5.000000,16.000000,373318.750000,63.000000,1.000000
440396.90999176,4463996.33000366,5.86999989,0,251,3,6.000000,5.000000,373347.187500,1.000000,1.000000
440398.58999207,4463991.61000244,4.80000019,0,205,49,6.000000,23.000000,373347.281250,1.000000,1.000000
440396.88999512,4463994.82000153,5.92000008,0,253,1,6.000000,17.000000,373347.687500,0.000000,1.000000
440397.15999176,4463996.10000031,5.88000011,0,252,2,6.000000,4.000000,373349.406250,0.000000,1.000000
440400.43999817,4463996.79000275,7.05999994,47,255,0,5.000000,23.000000,373312.656250,63.000000,1.000000
440395.23999359,4463992.48999969,4.84000015,0,207,47,6.000000,28.000000,373348.000000,1.000000,1.000000
440397.67999603,4463996.51999847,8.05000019,90,255,0,5.000000,13.000000,373311.843750,56.000000,1.000000
440396.78999664,4463994.75000183,7.57999992,70,255,0,5.000000,21.000000,373313.750000,63.000000,1.000000
440398.55999329,4463996.18999664,8.72000027,118,255,0,5.000000,28.000000,373315.343750,63.000000,1.000000
440396.06999542,4463996.54999725,7.34999990,59,255,0,5.000000,4.000000,373317.656250,55.000000,1.000000
440397.25999786,4463992.62999908,6.00000000,2,255,0,6.000000,29.000000,373346.187500,1.000000,1.000000
440396.22999146,4463991.87999908,5.28000021,0,226,28,6.000000,9.000000,373346.593750,1.000000,1.000000
440396.99999573,4463990.86000244,5.13999987,0,220,34,6.000000,5.000000,373347.281250,1.000000,1.000000
440397.56999542,4463996.00999634,8.72000027,118,255,0,6.000000,12.000000,373348.281250,1.000000,1.000000
440400.13999512,4463991.03000061,5.84999990,0,250,4,6.000000,14.000000,373348.593750,1.000000,1.000000
440400.36999084,4463997.26999847,8.10000038,92,255,0,6.000000,26.000000,373349.093750,1.000000,1.000000
440399.57999756,4463996.98999969,8.56000042,112,255,0,6.000000,2.000000,373350.000000,1.000000,1.000000
440400.66999390,4463996.76999847,6.90999985,41,255,0,5.000000,27.000000,373311.750000,63.000000,1.000000
440400.25999786,4463996.65999786,7.15999985,52,255,0,5.000000,17.000000,373314.062500,63.000000,1.000000
440397.50999786,4463995.72999756,6.69999981,32,255,0,5.000000,6.000000,373316.968750,63.000000,1.000000
440395.40999176,4463996.54000275,6.59000015,27,255,0,6.000000,27.000000,373346.093750,1.000000,1.000000
440396.61999084,4463996.53000061,6.61999989,29,255,0,6.000000,14.000000,373347.906250,0.000000,1.000000
