//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440456.70998718,4464114.61999695,3.67000008,0,157,97,3.000000,13.000000,373173.062500,48.000000,1.000000
440455.24000122,4464118.61999695,4.19999981,0,180,74,4.000000,4.000000,373234.500000,56.000000,1.000000
440456.93999817,4464115.03999512,3.89000010,0,166,88,3.000000,31.000000,373172.562500,63.000000,1.000000
440448.97999146,4464112.30999939,3.28999996,0,140,114,4.000000,3.000000,373230.218750,63.000000,1.000000
440456.95998718,4464114.92999451,3.83999991,0,164,90,3.000000,11.000000,373173.562500,63.000000,1.000000
440448.08999207,4464112.83000366,3.46000004,0,148,106,4.000000,27.000000,373228.406250,63.000000,1.000000
440451.92998840,4464109.86999695,3.75999999,0,160,94,4.000000,29.000000,373228.812500,56.000000,1.000000
440451.71999695,4464109.36000244,3.34999990,0,143,111,4.000000,9.000000,373229.625000,63.000000,1.000000
440448.99000122,4464112.39000122,3.24000001,0,139,115,4.000000,5.000000,373229.812500,63.000000,1.000000
440454.77999451,4464109.83999817,3.22000003,0,137,117,4.000000,9.000000,373230.000000,63.000000,1.000000
440453.42998840,4464109.99000732,3.25999999,0,139,115,4.000000,23.000000,373230.218750,63.000000,1.000000
440448.00999023,4464113.11000244,4.44000006,0,189,65,4.000000,10.000000,373231.812500,63.000000,1.000000
440451.49000122,4464109.80999939,3.48000002,0,148,106,4.000000,24.000000,373233.031250,63.000000,1.000000
440452.58999207,4464109.84999268,4.05999994,0,174,80,4.000000,8.000000,373233.218750,63.000000,1.000000
440452.29999878,4464110.38000671,3.79999995,0,163,91,4.000000,4.000000,373234.000000,57.000000,1.000000
440454.32999756,4464110.80999939,3.47000003,0,148,106,5.000000,14.000000,373302.375000,63.000000,1.000000
440453.92998840,4464118.64999573,4.21999979,0,180,74,3.000000,25.000000,373174.562500,63.000000,1.000000
440453.96999695,4464118.22999756,4.30000019,0,183,71,3.000000,16.000000,373181.062500,63.000000,1.000000
440457.05999329,4464114.38000671,7.09999990,49,255,0,3.000000,17.000000,373176.062500,63.000000,1.000000
440455.15999939,4464112.80999939,7.76999998,78,255,0,4.000000,23.000000,373230.625000,63.000000,1.000000
440450.50999023,4464112.09999268,7.05999994,47,255,0,4.000000,24.000000,373232.718750,63.000000,1.000000
440454.43999817,4464115.44999878,8.34000015,102,255,0,4.000000,0.000000,373235.312500,63.000000,1.000000
440455.46999695,4464115.63000671,8.09000015,91,255,0,3.000000,20.000000,373179.468750,53.000000,1.000000
440450.77999451,4464116.89000122,5.44999981,0,233,21,3.000000,17.000000,373177.375000,63.000000,1.000000
440448.60000183,4464113.58000366,5.28999996,0,226,28,3.000000,14.000000,373178.375000,63.000000,1.000000
440448.25999023,4464113.74000732,5.19000006,0,222,32,4.000000,5.000000,373229.718750,63.000000,1.000000
440448.20998718,4464115.33999817,6.07000017,5,255,0,4.000000,30.000000,373230.906250,63.000000,1.000000
440454.21999695,4464117.14999573,6.42000008,20,255,0,4.000000,30.000000,373232.000000,63.000000,1.000000
440449.90999939,4464111.44000427,5.73999977,0,246,8,4.000000,16.000000,373234.406250,63.000000,1.000000
440455.39998962,4464115.42999451,7.98999977,87,255,0,3.000000,17.000000,373176.468750,63.000000,1.000000
440450.13000061,4464116.17999451,6.88000011,39,255,0,4.000000,27.000000,373228.812500,63.000000,1.000000
440453.99999573,4464112.05000488,7.63999987,72,255,0,4.000000,11.000000,373229.625000,63.000000,1.000000
440451.77999451,4464110.50999634,6.21000004,11,255,0,4.000000,14.000000,373231.718750,63.000000,1.000000
440452.29999878,4464115.95999329,7.84000015,81,255,0,4.000000,0.000000,373234.812500,63.000000,1.000000
440454.14998962,4464112.09999268,8.06999969,91,255,0,4.000000,16.000000,373235.312500,63.000000,1.000000
440451.15999939,4464116.42999451,7.23999977,55,255,0,3.000000,23.000000,373175.781250,63.000000,1.000000
440450.64998962,4464112.08000366,7.26999998,56,255,0,3.000000,8.000000,373179.468750,63.000000,1.000000
440451.06998779,4464114.61999695,7.84000015,81,255,0,4.000000,5.000000,373230.125000,63.000000,1.000000
440451.25999023,4464117.69999878,7.44000006,64,255,0,4.000000,12.000000,373231.812500,63.000000,1.000000
440450.88000061,4464116.42999451,7.01000023,45,255,0,3.000000,31.000000,373173.781250,63.000000,1.000000
