//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440492.88000061,4464182.59999268,9.38000011,147,255,0,2.000000,10.000000,373113.156250,1.000000
440492.58999207,4464175.69999878,11.81000042,251,255,0,2.000000,26.000000,373113.250000,1.000000
440492.47999146,4464178.97999756,10.51000023,195,255,0,2.000000,6.000000,373114.156250,1.000000
440491.85999634,4464177.87999146,12.26000023,255,239,0,2.000000,4.000000,373114.437500,1.000000
440494.18999817,4464175.94999878,11.93999958,255,252,0,2.000000,4.000000,373114.843750,1.000000
440492.96999695,4464177.56999390,11.07999992,220,255,0,3.000000,31.000000,373165.187500,1.000000
440492.43999817,4464178.09999268,12.30000019,255,237,0,3.000000,5.000000,373167.375000,1.000000
440494.06998779,4464175.09001343,11.27000046,228,255,0,3.000000,3.000000,373167.687500,1.000000
440492.55999329,4464178.15001099,12.38000011,255,234,0,3.000000,14.000000,373168.781250,1.000000
440493.29999878,4464175.93000977,10.48999977,195,255,0,3.000000,20.000000,373171.281250,1.000000
440490.58999207,4464176.56001465,8.98999977,130,255,0,3.000000,22.000000,373171.375000,1.000000
440493.85999634,4464175.27998535,11.27000046,228,255,0,3.000000,0.000000,373172.281250,1.000000
440500.30999329,4464178.06001465,10.59000015,198,255,0,2.000000,9.000000,373111.125000,1.000000
440501.88000061,4464175.02000610,10.81000042,208,255,0,3.000000,23.000000,373165.468750,1.000000
440500.17998840,4464174.24000732,10.72000027,204,255,0,2.000000,24.000000,373115.250000,1.000000
440498.80999329,4464184.44999878,9.68999958,160,255,0,1.000000,1.000000,373040.968750,1.000000
440497.42998840,4464184.43998901,9.17000008,138,255,0,2.000000,23.000000,373111.031250,1.000000
440500.85000183,4464178.69999878,9.97999954,172,255,0,2.000000,5.000000,373112.250000,1.000000
440499.52999451,4464178.99000732,9.47000027,151,255,0,2.000000,20.000000,373115.937500,1.000000
440501.32999756,4464180.18000977,9.60999966,157,255,0,3.000000,1.000000,373166.562500,1.000000
440497.65999939,4464183.18000977,10.82999992,209,255,0,3.000000,8.000000,373169.375000,1.000000
440495.68999817,4464173.40999023,11.22999954,226,255,0,2.000000,29.000000,373109.437500,1.000000
440499.27000000,4464174.42000000,10.25000000,184,255,0,2.000000,3.000000,373112.531250,1.000000
440497.20998718,4464172.90001099,11.28999996,229,255,0,2.000000,20.000000,373115.656250,1.000000
440500.63999512,4464173.24998657,9.02000046,131,255,0,3.000000,27.000000,373164.781250,1.000000
440498.92998840,4464172.99998657,11.07999992,220,255,0,3.000000,9.000000,373165.562500,1.000000
440496.64998962,4464173.03999512,11.55000019,240,255,0,3.000000,30.000000,373168.187500,1.000000
440500.65999939,4464173.80000488,9.59000015,156,255,0,3.000000,6.000000,373169.375000,1.000000
440495.72999146,4464173.65999023,9.35999966,146,255,0,3.000000,22.000000,373170.593750,1.000000
440496.15999939,4464182.34999268,11.56999969,241,255,0,2.000000,15.000000,373109.031250,1.000000
