//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440457.66999390,4464020.25999634,3.96000004,0,169,85,6.000000,22.000000,373359.687500,0.000000,1.000000
440453.89998962,4464019.18999664,4.25000000,0,181,73,6.000000,18.000000,373359.593750,1.000000,1.000000
440457.02999451,4464019.61999695,3.99000001,0,171,83,6.000000,11.000000,373356.781250,1.000000,1.000000
440457.72999146,4464021.93999664,4.17000008,0,178,76,6.000000,3.000000,373358.000000,0.000000,1.000000
440453.86999084,4464020.33999817,7.90999985,84,255,0,5.000000,19.000000,373303.062500,0.000000,1.000000
440455.32999756,4464026.04999725,7.00000000,44,255,0,4.000000,8.000000,373236.218750,63.000000,1.000000
440451.65999939,4464021.29999725,5.01999998,0,215,39,5.000000,10.000000,373304.750000,5.000000,1.000000
440454.77999451,4464025.55999939,5.51999998,0,236,18,5.000000,1.000000,373303.156250,0.000000,1.000000
440457.78998901,4464025.19999878,5.73999977,0,246,8,5.000000,31.000000,373300.156250,0.000000,1.000000
440457.74000122,4464024.96000092,5.51000023,0,236,18,5.000000,19.000000,373302.156250,0.000000,1.000000
440456.54999878,4464025.50000183,5.59000015,0,239,15,5.000000,4.000000,373304.750000,3.000000,1.000000
440453.65999939,4464019.19999878,4.57000017,0,195,59,6.000000,11.000000,373356.093750,0.000000,1.000000
440455.66999390,4464024.73999969,8.27999973,100,255,0,5.000000,24.000000,373304.156250,0.000000,1.000000
440451.99000122,4464022.93999664,8.71000004,118,255,0,5.000000,0.000000,373306.343750,3.000000,1.000000
440452.52000000,4464021.22999756,8.57999992,112,255,0,6.000000,31.000000,373355.375000,0.000000,1.000000
440453.45998718,4464020.00999634,8.18000031,95,255,0,6.000000,13.000000,373355.781250,1.000000,1.000000
440455.75999023,4464019.96000092,8.00000000,88,255,0,6.000000,27.000000,373356.593750,0.000000,1.000000
440452.60000183,4464021.14000122,8.56999969,112,255,0,6.000000,17.000000,373357.406250,1.000000,1.000000
440452.03998901,4464020.58000366,6.53999996,25,255,0,6.000000,28.000000,373357.781250,0.000000,1.000000
440458.35999634,4464022.10000031,8.25000000,98,255,0,5.000000,31.000000,373300.156250,0.000000,1.000000
440455.81998779,4464021.78000061,5.30999994,0,227,27,6.000000,25.000000,373356.781250,0.000000,1.000000
440457.52999451,4464022.58000366,8.31999969,101,255,0,6.000000,20.000000,373359.906250,0.000000,1.000000
440459.38000061,4464022.50000183,8.09000015,91,255,0,6.000000,0.000000,373361.000000,0.000000,1.000000
440458.15999939,4464020.43999664,5.17999983,0,222,32,5.000000,27.000000,373300.843750,0.000000,1.000000
440451.71999695,4464021.25999634,7.23000002,55,255,0,5.000000,22.000000,373305.343750,0.000000,1.000000
440455.25999023,4464020.00000183,5.15999985,0,221,33,6.000000,8.000000,373359.000000,0.000000,1.000000
440459.88999512,4464024.61000244,5.01999998,0,215,39,6.000000,6.000000,373360.187500,0.000000,1.000000
440452.22999146,4464023.75999634,4.82000017,0,206,48,4.000000,9.000000,373231.125000,63.000000,1.000000
440456.13999512,4464025.82000153,8.19999981,96,255,0,5.000000,13.000000,373300.968750,0.000000,1.000000
440452.85000183,4464025.12999908,7.80000019,79,255,0,5.000000,9.000000,373302.156250,0.000000,1.000000
440455.78998901,4464024.12999908,8.25000000,98,255,0,5.000000,14.000000,373303.250000,0.000000,1.000000
440455.63999512,4464025.54999725,8.39999962,105,255,0,5.000000,16.000000,373305.468750,0.000000,1.000000
440452.33999207,4464021.17000000,6.98000002,44,255,0,6.000000,11.000000,373355.781250,1.000000,1.000000
440459.79999878,4464022.21000092,8.40999985,105,255,0,6.000000,13.000000,373356.875000,1.000000,1.000000
440455.25999023,4464021.08999817,6.48000002,23,255,0,6.000000,20.000000,373359.500000,0.000000,1.000000
440453.10000183,4464023.36000244,4.61000013,0,197,57,5.000000,13.000000,373301.562500,1.000000,1.000000
440454.99000122,4464025.08999817,5.61999989,0,240,14,5.000000,7.000000,373302.062500,0.000000,1.000000
440455.35999634,4464025.47000305,5.90999985,0,253,1,5.000000,30.000000,373303.343750,0.000000,1.000000
440453.60000183,4464022.47999756,4.71000004,0,201,53,5.000000,26.000000,373304.343750,7.000000,1.000000
440459.95998718,4464024.68000214,4.96000004,0,212,42,5.000000,27.000000,373300.562500,0.000000,1.000000
440455.86999084,4464025.50000183,5.48000002,0,234,20,5.000000,27.000000,373301.250000,0.000000,1.000000
440460.14998962,4464024.67000000,5.05999994,0,216,38,5.000000,1.000000,373302.062500,1.000000,1.000000
