//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440470.78998901,4464056.74000732,2.15000010,0,91,163,4.000000,26.000000,373237.937500,63.000000,1.000000
440470.95998718,4464057.22999756,1.88000000,0,80,174,5.000000,20.000000,373301.968750,63.000000,1.000000
440470.90999939,4464055.25999634,4.76000023,0,204,50,4.000000,9.000000,373234.031250,63.000000,1.000000
440471.16999390,4464057.34999268,3.29999995,0,141,113,4.000000,12.000000,373237.437500,63.000000,1.000000
440472.67998840,4464057.55999939,5.19000006,0,222,32,4.000000,23.000000,373235.125000,63.000000,1.000000
440473.10999634,4464056.97999756,6.44999981,21,255,0,4.000000,4.000000,373239.718750,54.000000,1.000000
440472.52000000,4464054.31999390,3.48000002,0,148,106,5.000000,3.000000,373298.968750,115.000000,1.000000
440472.13999512,4464054.28999512,4.05000019,0,173,81,5.000000,20.000000,373301.750000,43.000000,1.000000
440471.63999512,4464055.99000732,5.63000011,0,241,13,6.000000,23.000000,373358.375000,63.000000,1.000000
440471.27000000,4464055.30000488,3.59999990,0,154,100,5.000000,17.000000,373299.656250,43.000000,1.000000
440476.40999939,4464055.44000427,2.77999997,0,118,136,5.000000,9.000000,373297.156250,63.000000,1.000000
440475.72999146,4464055.38000671,5.40999985,0,231,23,5.000000,11.000000,373296.968750,43.000000,1.000000
440471.58999207,4464057.36999695,3.16000009,0,135,119,4.000000,11.000000,373233.625000,63.000000,1.000000
440473.94999268,4464057.66000549,2.53999996,0,108,146,4.000000,1.000000,373236.937500,63.000000,1.000000
440474.58999207,4464056.05999939,4.78999996,0,204,50,4.000000,14.000000,373237.625000,63.000000,1.000000
440472.77000000,4464057.63000671,2.75999999,0,118,136,4.000000,22.000000,373239.125000,63.000000,1.000000
440476.05999329,4464054.19000427,4.84000015,0,207,47,4.000000,20.000000,373240.437500,52.000000,1.000000
440475.02999451,4464057.19000427,2.07999992,0,88,166,5.000000,29.000000,373296.468750,120.000000,1.000000
440473.60999634,4464053.38000671,2.05999994,0,88,166,5.000000,27.000000,373297.375000,49.000000,1.000000
440476.13000061,4464054.69999878,3.75000000,0,160,94,5.000000,23.000000,373297.562500,51.000000,1.000000
440472.91999390,4464053.83999817,1.99000001,0,85,169,5.000000,3.000000,373298.875000,46.000000,1.000000
440473.86999084,4464053.78000061,2.88000011,0,123,131,5.000000,17.000000,373299.062500,89.000000,1.000000
440473.39998962,4464054.03999512,3.23000002,0,138,116,5.000000,30.000000,373299.656250,45.000000,1.000000
440471.74999573,4464055.17000000,3.19000006,0,136,118,5.000000,6.000000,373301.562500,53.000000,1.000000
440473.15999939,4464054.02000610,3.00000000,0,128,126,5.000000,0.000000,373302.375000,62.000000,1.000000
440472.16999390,4464058.33000366,1.88999999,0,80,174,5.000000,16.000000,373302.875000,63.000000,1.000000
440471.33999207,4464055.67000000,4.25000000,0,181,73,4.000000,7.000000,373234.718750,63.000000,1.000000
440475.32999756,4464056.36000244,6.28999996,14,255,0,5.000000,15.000000,373296.156250,48.000000,1.000000
440472.96999695,4464054.42999451,4.09999990,0,175,79,5.000000,7.000000,373298.062500,40.000000,1.000000
440471.97999146,4464057.17000000,6.00000000,2,255,0,4.000000,15.000000,373232.843750,63.000000,1.000000
440471.88000061,4464057.52000610,5.82000017,0,249,5,4.000000,25.000000,373234.218750,63.000000,1.000000
440474.67998840,4464055.28000061,7.96000004,85,255,0,4.000000,0.000000,373241.031250,63.000000,1.000000
440471.41999390,4464054.41000549,3.71000004,0,158,96,5.000000,19.000000,373299.156250,32.000000,1.000000
440471.74000122,4464054.58000366,8.18000031,95,255,0,5.000000,28.000000,373300.062500,5.000000,1.000000
440472.91999390,4464055.22000305,8.84000015,124,255,0,6.000000,27.000000,373357.593750,63.000000,1.000000
440471.65999939,4464057.13000671,5.38000011,0,230,24,4.000000,13.000000,373233.218750,54.000000,1.000000
440471.30999329,4464054.89000122,3.63000011,0,155,99,4.000000,11.000000,373233.625000,63.000000,1.000000
440472.53998901,4464057.05999939,5.76000023,0,246,8,4.000000,19.000000,373236.125000,63.000000,1.000000
440472.60000183,4464057.69999878,5.88000011,0,252,2,4.000000,1.000000,373236.625000,63.000000,1.000000
440474.24999573,4464055.84999268,5.46000004,0,234,20,4.000000,17.000000,373237.031250,63.000000,1.000000
440471.27999451,4464056.25000183,6.46000004,21,255,0,4.000000,26.000000,373237.937500,63.000000,1.000000
440473.69999268,4464054.49000732,7.38999987,62,255,0,4.000000,24.000000,373238.843750,63.000000,1.000000
440471.86999084,4464057.24000732,6.76000023,35,255,0,4.000000,20.000000,373239.437500,55.000000,1.000000
440474.11999084,4464055.75000183,8.43999958,106,255,0,4.000000,20.000000,373239.937500,55.000000,1.000000
440473.15999939,4464057.59999268,7.98999977,87,255,0,4.000000,0.000000,373240.625000,63.000000,1.000000
440472.52999451,4464053.39000122,3.08999991,0,132,122,5.000000,15.000000,373296.875000,39.000000,1.000000
