//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440413.35000183,4464074.50000183,3.86999989,0,166,88,5.000000,18.000000,373313.281250,100.000000,1.000000
440418.13000061,4464074.72999756,4.26000023,0,182,72,5.000000,15.000000,373306.375000,63.000000,1.000000
440413.14998962,4464076.50999634,3.11999989,0,133,121,4.000000,21.000000,373223.625000,63.000000,1.000000
440408.86999084,4464072.52000610,2.25000000,0,96,158,5.000000,21.000000,373310.375000,63.000000,1.000000
440408.13999512,4464073.47000305,2.60999990,0,111,143,5.000000,19.000000,373310.968750,63.000000,1.000000
440407.71999695,4464073.38000671,2.46000004,0,105,149,5.000000,1.000000,373311.562500,63.000000,1.000000
440416.39998962,4464078.02000610,4.32999992,0,185,69,4.000000,4.000000,373227.906250,60.000000,1.000000
440417.10999634,4464072.16000549,3.76999998,0,161,93,4.000000,14.000000,373225.906250,63.000000,1.000000
440411.92998840,4464070.06999390,2.42000008,0,103,151,5.000000,28.000000,373311.687500,63.000000,1.000000
440412.14998962,4464069.81999390,2.88000011,0,123,131,5.000000,0.000000,373313.968750,63.000000,1.000000
440418.24000122,4464075.27000610,2.63000011,0,112,142,4.000000,19.000000,373225.031250,63.000000,1.000000
440417.10000183,4464072.75999634,3.33999991,0,142,112,4.000000,24.000000,373227.312500,63.000000,1.000000
440419.63000061,4464075.64000122,3.64000010,0,155,99,5.000000,30.000000,373309.562500,63.000000,1.000000
440412.77000000,4464071.30000488,2.24000001,0,95,159,5.000000,15.000000,373307.468750,63.000000,1.000000
440413.27000000,4464069.77000610,2.80999994,0,120,134,5.000000,0.000000,373313.781250,63.000000,1.000000
440414.15999939,4464076.70999329,3.74000001,0,160,94,4.000000,8.000000,373226.531250,63.000000,1.000000
440409.45999481,4464079.94999878,2.43000007,0,103,151,4.000000,3.000000,373223.312500,63.000000,1.000000
440409.62999298,4464079.61999695,2.35999990,0,100,154,4.000000,1.000000,373223.812500,63.000000,1.000000
440412.63000061,4464079.55999939,2.23000002,0,95,159,4.000000,24.000000,373226.218750,63.000000,1.000000
440410.44999268,4464076.83000366,4.05000019,0,173,81,5.000000,7.000000,373309.562500,63.000000,1.000000
440409.76999237,4464070.24000732,4.01000023,0,171,83,5.000000,19.000000,373310.687500,63.000000,1.000000
440410.88999512,4464072.33999817,4.05000019,0,173,81,4.000000,13.000000,373221.625000,59.000000,1.000000
440408.05999329,4464072.83000366,2.36999989,0,101,153,4.000000,9.000000,373221.906250,63.000000,1.000000
440406.50999786,4464073.50999634,2.34999990,0,100,154,4.000000,30.000000,373223.718750,63.000000,1.000000
440408.99999573,4464073.81999390,4.23999977,0,181,73,4.000000,8.000000,373225.406250,63.000000,1.000000
440411.49999573,4464074.58999817,3.10999990,0,133,121,4.000000,6.000000,373226.531250,63.000000,1.000000
440407.62999298,4464074.58999817,2.57999992,0,110,144,5.000000,29.000000,373308.781250,59.000000,1.000000
440407.87999298,4464074.36999695,3.65000010,0,156,98,5.000000,9.000000,373309.687500,63.000000,1.000000
440407.60999634,4464073.89999573,2.32999992,0,99,155,5.000000,7.000000,373310.281250,63.000000,1.000000
440408.05999329,4464073.80999939,2.98000002,0,127,127,5.000000,3.000000,373311.062500,63.000000,1.000000
440407.29999115,4464074.50999634,2.47000003,0,105,149,5.000000,12.000000,373312.281250,63.000000,1.000000
440407.54999115,4464074.53999512,2.56999993,0,109,145,5.000000,6.000000,373313.468750,63.000000,1.000000
440411.12999298,4464069.70999329,3.02999997,0,129,125,6.000000,29.000000,373345.781250,57.000000,1.000000
440407.05999329,4464076.47000305,3.43000007,0,146,108,4.000000,27.000000,373221.312500,63.000000,1.000000
440406.84999420,4464076.72999756,3.42000008,0,146,108,4.000000,30.000000,373223.718750,63.000000,1.000000
440406.33999207,4464077.02000610,2.82999992,0,121,133,4.000000,2.000000,373226.312500,100.000000,1.000000
440411.56999542,4464076.61000244,3.21000004,0,137,117,5.000000,1.000000,373310.562500,63.000000,1.000000
440407.28999664,4464076.17999451,3.74000001,0,160,94,5.000000,22.000000,373313.468750,63.000000,1.000000
440415.75999023,4464078.42000000,3.95000005,0,169,85,4.000000,13.000000,373222.531250,61.000000,1.000000
440413.43999817,4464071.41000549,4.26999998,0,183,71,5.000000,13.000000,373307.781250,60.000000,1.000000
440414.60000183,4464071.50999634,3.97000003,0,169,85,5.000000,5.000000,373309.375000,63.000000,1.000000
440414.75999023,4464072.14999573,4.09999990,0,175,79,5.000000,3.000000,373309.687500,63.000000,1.000000
440414.77999451,4464072.19000427,4.25000000,0,181,73,5.000000,28.000000,373311.062500,63.000000,1.000000
440416.75999023,4464077.67999451,3.89000010,0,166,88,4.000000,4.000000,373228.031250,60.000000,1.000000
440418.07999756,4464075.06999390,4.38000011,0,187,67,5.000000,19.000000,373309.062500,63.000000,1.000000
440416.99000122,4464077.39000122,4.17000008,0,178,76,4.000000,5.000000,373224.312500,63.000000,1.000000
440419.57999756,4464076.05999939,4.28000021,0,183,71,5.000000,9.000000,373307.375000,63.000000,1.000000
440412.32999756,4464072.47000305,8.72999954,119,255,0,4.000000,31.000000,373221.625000,63.000000,1.000000
440411.96999695,4464080.69999878,7.48000002,65,255,0,4.000000,23.000000,373223.031250,49.000000,1.000000
440408.55999329,4464078.25999634,5.67000008,0,243,11,4.000000,12.000000,373224.312500,62.000000,1.000000
440413.81998779,4464076.80000488,8.65999985,116,255,0,4.000000,24.000000,373226.312500,62.000000,1.000000
440413.99999573,4464074.80999939,4.92999983,0,211,43,4.000000,26.000000,373226.125000,63.000000,1.000000
440413.85000183,4464071.33999817,5.00000000,0,214,40,5.000000,0.000000,373313.562500,63.000000,1.000000
440415.52999451,4464080.97999756,5.51999998,0,236,18,3.000000,13.000000,373180.875000,56.000000,1.000000
440418.74999573,4464075.33999817,6.09999990,6,255,0,5.000000,6.000000,373311.468750,63.000000,1.000000
