//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440427.96999695,4464161.84001343,5.21000004,0,223,31,2.000000,27.000000,373096.437500,63.000000,1.000000
440428.94999268,4464162.28999512,6.11999989,7,255,0,2.000000,19.000000,373099.250000,63.000000,1.000000
440431.36999084,4464162.31999390,5.76000023,0,246,8,3.000000,8.000000,373182.593750,63.000000,1.000000
440428.49000122,4464159.81999390,6.34999990,17,255,0,2.000000,14.000000,373100.250000,63.000000,1.000000
440431.38999512,4464159.42000000,6.23000002,11,255,0,3.000000,15.000000,373177.093750,63.000000,1.000000
440428.14998962,4464162.56999390,3.74000001,0,160,94,2.000000,7.000000,373097.843750,63.000000,1.000000
440429.53998901,4464162.55000488,4.26999998,0,183,71,2.000000,21.000000,373098.625000,63.000000,1.000000
440432.40999939,4464158.63000671,3.96000004,0,169,85,3.000000,26.000000,373181.968750,63.000000,1.000000
440428.52999451,4464162.28999512,5.84999990,0,250,4,2.000000,1.000000,373099.750000,63.000000,1.000000
440429.52000000,4464162.31999390,7.48999977,65,255,0,2.000000,28.000000,373100.937500,63.000000,1.000000
440429.91999390,4464162.05000488,7.80000019,79,255,0,2.000000,4.000000,373103.343750,52.000000,1.000000
440429.60000183,4464161.28999512,7.42999983,63,255,0,3.000000,21.000000,373179.968750,63.000000,1.000000
440429.85000183,4464160.44999878,6.67000008,30,255,0,3.000000,8.000000,373182.781250,63.000000,1.000000
440430.99000122,4464157.97000305,5.38999987,0,231,23,3.000000,0.000000,373184.687500,63.000000,1.000000
440432.27000000,4464160.75999634,5.71000004,0,244,10,2.000000,13.000000,373096.750000,48.000000,1.000000
440431.41999390,4464159.92999451,5.65999985,0,242,12,2.000000,14.000000,373100.843750,63.000000,1.000000
440431.99000122,4464161.55000488,5.53000021,0,237,17,2.000000,22.000000,373103.031250,63.000000,1.000000
440431.24000122,4464162.42000000,5.17999983,0,222,32,2.000000,4.000000,373103.625000,53.000000,1.000000
440432.92998840,4464160.28999512,5.82000017,0,249,5,3.000000,31.000000,373176.687500,63.000000,1.000000
440432.24999573,4464162.67000000,6.23999977,12,255,0,3.000000,29.000000,373177.468750,52.000000,1.000000
440430.19999268,4464159.24000732,5.26000023,0,225,29,3.000000,29.000000,373177.875000,51.000000,1.000000
440432.02000000,4464162.24000732,5.19999981,0,222,32,3.000000,17.000000,373180.375000,63.000000,1.000000
440428.53998901,4464161.00000183,6.03999996,3,255,0,3.000000,19.000000,373180.593750,63.000000,1.000000
440430.08999207,4464159.19000427,5.28999996,0,226,28,3.000000,6.000000,373183.281250,63.000000,1.000000
440432.24000122,4464159.28000061,5.30999994,0,227,27,3.000000,20.000000,373183.687500,53.000000,1.000000
440428.85999634,4464161.99998657,7.09999990,49,255,0,2.000000,17.000000,373099.843750,63.000000,1.000000
440431.80999329,4464160.88000671,6.09999990,6,255,0,2.000000,12.000000,373101.437500,63.000000,1.000000
440430.24999573,4464159.91000549,6.46000004,21,255,0,2.000000,24.000000,373102.250000,63.000000,1.000000
440431.24000122,4464161.93998901,6.63000011,29,255,0,3.000000,29.000000,373177.687500,53.000000,1.000000
440431.92998840,4464161.46998779,6.65999985,30,255,0,3.000000,23.000000,373178.968750,63.000000,1.000000
440430.02999451,4464160.92000000,7.07000017,47,255,0,3.000000,7.000000,373179.375000,63.000000,1.000000
440431.64998962,4464159.19000427,6.15000010,8,255,0,3.000000,21.000000,373179.593750,63.000000,1.000000
440431.29999878,4464161.67000000,6.82000017,37,255,0,3.000000,3.000000,373180.093750,63.000000,1.000000
440431.49000122,4464160.52000610,6.30999994,15,255,0,3.000000,17.000000,373180.468750,63.000000,1.000000
440430.77999451,4464160.33000366,6.23000002,11,255,0,3.000000,30.000000,373181.281250,63.000000,1.000000
440431.79999878,4464161.84001343,6.76000023,35,255,0,3.000000,8.000000,373182.468750,63.000000,1.000000
440430.60999634,4464161.33000366,6.46999979,22,255,0,3.000000,6.000000,373183.093750,63.000000,1.000000
440432.45998718,4464158.67000000,3.79999995,0,163,91,3.000000,9.000000,373178.468750,63.000000,1.000000
440429.33999207,4464163.09001343,4.34999990,0,186,68,2.000000,30.000000,373100.343750,63.000000,1.000000
440429.02000000,4464162.55000488,3.56999993,0,152,102,2.000000,13.000000,373095.843750,50.000000,1.000000
440429.20998718,4464162.96998779,3.45000005,0,148,106,2.000000,13.000000,373095.937500,50.000000,1.000000
