//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440545.37000610,4464126.33000366,3.16000009,0,135,119,4.000000,27.000000,373246.125000,63.000000,1.000000
440544.68998291,4464132.03999512,4.61999989,0,198,56,3.000000,12.000000,373160.062500,63.000000,1.000000
440548.81000854,4464129.50000183,7.88000011,83,255,0,3.000000,11.000000,373156.468750,63.000000,1.000000
440547.31000854,4464132.19999878,7.05999994,47,255,0,3.000000,16.000000,373162.375000,63.000000,1.000000
440548.21998169,4464128.42000000,3.84999990,0,165,89,4.000000,7.000000,373247.531250,63.000000,1.000000
440547.53998901,4464129.39000122,7.23999977,55,255,0,3.000000,21.000000,373157.875000,63.000000,1.000000
440545.65998413,4464132.13000671,5.59999990,0,240,14,2.000000,13.000000,373119.156250,55.000000,1.000000
440545.90000488,4464129.39999573,7.07999992,48,255,0,3.000000,23.000000,373157.750000,63.000000,1.000000
440545.49000122,4464132.67000000,4.92000008,0,210,44,3.000000,12.000000,373159.875000,63.000000,1.000000
440544.31000854,4464131.72999756,4.59000015,0,196,58,3.000000,20.000000,373162.062500,58.000000,1.000000
440545.71000244,4464126.63000671,4.67000008,0,200,54,4.000000,9.000000,373246.718750,63.000000,1.000000
440545.63999512,4464127.53999512,6.38999987,18,255,0,4.000000,30.000000,373249.312500,63.000000,1.000000
440549.53998901,4464130.09999268,7.40000010,62,255,0,3.000000,15.000000,373155.343750,63.000000,1.000000
440550.87998535,4464131.17999451,6.30000019,14,255,0,3.000000,7.000000,373156.750000,63.000000,1.000000
440547.99000122,4464130.03000061,7.51000023,67,255,0,3.000000,14.000000,373158.968750,63.000000,1.000000
440546.65000488,4464131.92999451,6.19000006,10,255,0,3.000000,20.000000,373161.562500,59.000000,1.000000
440549.96000244,4464131.63000671,7.11999989,50,255,0,4.000000,19.000000,373248.718750,63.000000,1.000000
440546.99000122,4464130.08000366,7.36000013,60,255,0,4.000000,12.000000,373249.718750,63.000000,1.000000
440547.41999390,4464126.74000732,5.26000023,0,225,29,4.000000,20.000000,373251.625000,56.000000,1.000000
440549.43000366,4464128.56999390,7.84999990,81,255,0,4.000000,0.000000,373253.031250,63.000000,1.000000
440549.34000732,4464132.67000000,6.88999987,40,255,0,2.000000,17.000000,373123.656250,63.000000,1.000000
440551.59000732,4464129.95999329,5.38999987,0,231,23,3.000000,7.000000,373156.656250,63.000000,1.000000
440543.62998535,4464131.83000366,4.17999983,0,178,76,3.000000,5.000000,373158.468750,63.000000,1.000000
440545.59998657,4464128.06999390,6.59000015,27,255,0,3.000000,28.000000,373159.875000,63.000000,1.000000
440548.62000610,4464130.72000305,3.99000001,0,171,83,3.000000,4.000000,373161.375000,57.000000,1.000000
440543.85999634,4464128.31999390,4.15000010,0,177,77,3.000000,0.000000,373163.250000,63.000000,1.000000
440547.18998291,4464127.64000122,6.84999990,38,255,0,4.000000,23.000000,373247.406250,63.000000,1.000000
440547.75999023,4464126.53999512,4.32999992,0,185,69,4.000000,5.000000,373248.125000,63.000000,1.000000
440546.59000732,4464128.20999329,6.86999989,39,255,0,4.000000,6.000000,373251.125000,63.000000,1.000000
440544.62998535,4464133.42000000,2.56999993,0,109,145,3.000000,31.000000,373156.250000,63.000000,1.000000
440543.18000366,4464131.11999695,4.17000008,0,178,76,3.000000,29.000000,373156.968750,58.000000,1.000000
440546.52000000,4464126.44999878,4.46000004,0,191,63,3.000000,25.000000,373157.156250,63.000000,1.000000
440543.35999634,4464129.13000671,3.71000004,0,158,96,3.000000,7.000000,373158.156250,63.000000,1.000000
440544.77000000,4464133.55000488,2.73000002,0,116,138,3.000000,3.000000,373158.656250,63.000000,1.000000
440543.68000366,4464129.89999573,3.63000011,0,155,99,3.000000,19.000000,373158.968750,63.000000,1.000000
440544.87000610,4464133.50000183,2.96000004,0,126,128,3.000000,1.000000,373159.156250,63.000000,1.000000
440543.49000122,4464129.19999878,4.01999998,0,171,83,3.000000,30.000000,373159.875000,63.000000,1.000000
440546.06000854,4464129.52000610,3.91000009,0,167,87,3.000000,10.000000,373160.375000,63.000000,1.000000
440543.87998535,4464128.17000000,4.44000006,0,189,65,3.000000,26.000000,373160.875000,63.000000,1.000000
440543.47999146,4464132.39000122,2.66000009,0,113,141,3.000000,20.000000,373162.375000,57.000000,1.000000
440544.65998413,4464127.36000244,2.52999997,0,108,146,4.000000,15.000000,373245.000000,63.000000,1.000000
440543.28000977,4464131.44999878,4.03999996,0,172,82,4.000000,25.000000,373246.000000,63.000000,1.000000
440544.18998291,4464130.44999878,2.02999997,0,86,168,4.000000,9.000000,373246.218750,63.000000,1.000000
440545.59000732,4464127.72999756,2.49000001,0,106,148,4.000000,9.000000,373246.625000,63.000000,1.000000
440543.16999390,4464129.86000244,3.95000005,0,169,85,4.000000,5.000000,373247.125000,63.000000,1.000000
440543.68998291,4464129.09999268,3.64000010,0,155,99,4.000000,19.000000,373247.625000,63.000000,1.000000
440543.16999390,4464129.28000061,4.05000019,0,173,81,4.000000,17.000000,373248.125000,63.000000,1.000000
440544.97999146,4464129.55000488,3.19000006,0,136,118,4.000000,1.000000,373248.406250,63.000000,1.000000
440543.49000122,4464129.25000183,4.09000015,0,174,80,4.000000,14.000000,373248.625000,63.000000,1.000000
