//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Intensity,Classification
440457.06998779,4464109.69000427,5.48999977,0,235,19,3.000000,12.000000,373177.156250,63.000000,1.000000
440457.77999451,4464108.11999695,6.28999996,14,255,0,4.000000,7.000000,373231.125000,63.000000,1.000000
440458.07999756,4464103.92999451,7.42999983,63,255,0,4.000000,1.000000,373232.625000,63.000000,1.000000
440459.41999390,4464109.69000427,7.19000006,53,255,0,4.000000,12.000000,373233.531250,63.000000,1.000000
440462.13000061,4464104.95999329,8.32999992,102,255,0,4.000000,14.000000,373233.718750,63.000000,1.000000
440465.28998901,4464107.00999634,5.00000000,0,214,40,4.000000,12.000000,373234.906250,63.000000,1.000000
440458.81998779,4464105.66000549,7.65000010,73,255,0,4.000000,20.000000,373235.500000,60.000000,1.000000
440465.28998901,4464106.61999695,5.84999990,0,250,4,4.000000,8.000000,373235.906250,63.000000,1.000000
440458.17998840,4464110.39000122,5.82999992,0,249,5,4.000000,0.000000,373236.406250,63.000000,1.000000
440465.65999939,4464105.88000671,5.38999987,0,231,23,4.000000,20.000000,373237.031250,57.000000,1.000000
440464.97999146,4464109.50000183,5.44000006,0,233,21,5.000000,29.000000,373296.375000,57.000000,1.000000
440464.57999756,4464104.45999329,8.43000031,106,255,0,5.000000,5.000000,373298.875000,63.000000,1.000000
440460.39998962,4464106.94000427,8.56999969,112,255,0,5.000000,30.000000,373301.281250,63.000000,1.000000
440459.99000122,4464106.49000732,8.09000015,91,255,0,5.000000,26.000000,373302.687500,63.000000,1.000000
440465.35000183,4464103.11000244,7.94999981,85,255,0,3.000000,31.000000,373170.875000,63.000000,1.000000
440465.92998840,4464106.49000732,5.63999987,0,241,13,3.000000,11.000000,373171.781250,63.000000,1.000000
440462.30999329,4464111.17999451,7.69000006,74,255,0,3.000000,29.000000,373172.062500,49.000000,1.000000
440461.08999207,4464103.61000244,7.09999990,49,255,0,3.000000,29.000000,373172.250000,45.000000,1.000000
440464.93999817,4464109.91000549,5.36000013,0,229,25,3.000000,25.000000,373172.562500,63.000000,1.000000
440463.41999390,4464110.19999878,7.19000006,53,255,0,3.000000,9.000000,373172.875000,63.000000,1.000000
440466.54999878,4464105.81999390,5.23999977,0,224,30,3.000000,5.000000,373173.375000,63.000000,1.000000
440457.92998840,4464111.41000549,5.84000015,0,250,4,3.000000,11.000000,373173.468750,63.000000,1.000000
440462.88999512,4464109.00000183,7.53000021,68,255,0,3.000000,21.000000,373173.968750,63.000000,1.000000
440465.41999390,4464107.83000366,4.92000008,0,210,44,3.000000,19.000000,373174.062500,63.000000,1.000000
440462.25999023,4464111.03999512,7.75000000,77,255,0,3.000000,21.000000,373174.156250,63.000000,1.000000
440463.99999573,4464110.45999329,6.69000006,32,255,0,3.000000,3.000000,373174.281250,63.000000,1.000000
440457.85000183,4464110.11000244,5.84999990,0,250,4,3.000000,23.000000,373174.375000,63.000000,1.000000
440457.36999084,4464109.20999329,5.50000000,0,235,19,3.000000,23.000000,373174.468750,63.000000,1.000000
440464.94999268,4464106.97999756,6.44999981,21,255,0,3.000000,17.000000,373174.562500,63.000000,1.000000
440466.72999146,4464106.27000610,5.28999996,0,226,28,3.000000,28.000000,373175.375000,63.000000,1.000000
440457.70998718,4464109.61999695,5.53000021,0,237,17,3.000000,19.000000,373175.468750,63.000000,1.000000
440465.24000122,4464107.50000183,6.32999992,16,255,0,3.000000,12.000000,373175.656250,63.000000,1.000000
440458.77999451,4464108.94999878,6.19999981,10,255,0,3.000000,1.000000,373175.875000,63.000000,1.000000
440460.49000122,4464110.64999573,6.17000008,9,255,0,3.000000,30.000000,373175.968750,63.000000,1.000000
440462.69999268,4464110.30999939,7.55000019,68,255,0,3.000000,28.000000,373176.062500,63.000000,1.000000
440464.32999756,4464109.47999756,5.53999996,0,237,17,3.000000,10.000000,373176.281250,63.000000,1.000000
440466.24999573,4464106.30999939,5.96999979,0,255,0,3.000000,20.000000,373177.875000,51.000000,1.000000
440461.63000061,4464111.66000549,6.44999981,21,255,0,3.000000,20.000000,373178.562500,50.000000,1.000000
440465.36999084,4464108.03000061,6.03000021,3,255,0,3.000000,0.000000,373179.156250,63.000000,1.000000
440457.24999573,4464105.08999817,6.26000023,13,255,0,4.000000,31.000000,373229.500000,63.000000,1.000000
440457.88999512,4464106.69000427,5.11999989,0,219,35,4.000000,27.000000,373230.312500,63.000000,1.000000
440457.25999023,4464105.94000427,6.78999996,35,255,0,4.000000,9.000000,373230.718750,63.000000,1.000000
440460.40999939,4464104.17000000,6.51999998,24,255,0,4.000000,27.000000,373230.906250,63.000000,1.000000
440458.95998718,4464103.59999268,5.88000011,0,252,2,4.000000,9.000000,373231.000000,63.000000,1.000000
440457.72999146,4464107.17999451,5.15000010,0,220,34,4.000000,23.000000,373231.125000,63.000000,1.000000
440464.96999695,4464105.47999756,7.28999996,57,255,0,4.000000,13.000000,373231.218750,58.000000,1.000000
440464.83999207,4464102.86999695,7.69000006,74,255,0,4.000000,29.000000,373231.312500,58.000000,1.000000
440459.83999207,4464110.83000366,5.21000004,0,223,31,4.000000,7.000000,373231.406250,63.000000,1.000000
440460.83999207,4464102.92999451,6.40999985,19,255,0,4.000000,25.000000,373231.406250,63.000000,1.000000
440460.15999939,4464110.75999634,6.03000021,3,255,0,4.000000,23.000000,373231.500000,63.000000,1.000000
440460.53998901,4464111.09999268,6.32999992,16,255,0,4.000000,7.000000,373231.625000,63.000000,1.000000
440461.97999146,4464102.33000366,7.11000013,50,255,0,4.000000,9.000000,373231.718750,63.000000,1.000000
440458.49000122,4464103.92000000,6.84999990,38,255,0,4.000000,5.000000,373231.812500,63.000000,1.000000
440457.00999023,4464107.02000610,6.51999998,24,255,0,4.000000,3.000000,373231.906250,63.000000,1.000000
440457.32999756,4464105.17999451,6.44000006,20,255,0,4.000000,19.000000,373232.125000,63.000000,1.000000
440460.05999329,4464104.05000488,6.94999981,42,255,0,4.000000,5.000000,373232.218750,63.000000,1.000000
440457.74000122,4464111.38000671,4.94999981,0,212,42,4.000000,17.000000,373232.406250,63.000000,1.000000
440459.70998718,4464104.25000183,5.98999977,1,255,0,4.000000,3.000000,373232.531250,63.000000,1.000000
440460.35999634,4464104.16000549,6.51000023,23,255,0,4.000000,3.000000,373232.625000,63.000000,1.000000
440461.89998962,4464111.94999878,5.19000006,0,222,32,4.000000,19.000000,373232.718750,63.000000,1.000000
440458.66999390,4464103.89000122,6.67999983,31,255,0,4.000000,1.000000,373232.718750,63.000000,1.000000
440463.95998718,4464105.69000427,7.46000004,65,255,0,4.000000,21.000000,373232.812500,63.000000,1.000000
440456.55999329,4464107.05999939,4.65000010,0,198,56,4.000000,28.000000,373233.125000,63.000000,1.000000
440465.85000183,4464106.06999390,5.26000023,0,225,29,4.000000,19.000000,373233.531250,63.000000,1.000000
440464.55999329,4464107.44999878,5.61000013,0,240,14,4.000000,1.000000,373233.718750,63.000000,1.000000
440458.03998901,4464104.95999329,7.07999992,48,255,0,4.000000,26.000000,373233.812500,63.000000,1.000000
440461.54999878,4464109.33999817,7.03000021,46,255,0,4.000000,12.000000,373233.906250,63.000000,1.000000
440462.42998840,4464109.61999695,7.17000008,52,255,0,4.000000,28.000000,373234.125000,63.000000,1.000000
440465.14998962,4464104.06999390,7.71000004,75,255,0,4.000000,30.000000,373234.312500,63.000000,1.000000
440464.06998779,4464106.22999756,7.09000015,49,255,0,4.000000,28.000000,373234.531250,63.000000,1.000000
440464.82999756,4464103.36999695,7.78000021,78,255,0,4.000000,28.000000,373234.718750,63.000000,1.000000
440465.06998779,4464105.44999878,6.98999977,44,255,0,4.000000,28.000000,373234.812500,63.000000,1.000000
440463.30999329,4464109.00000183,6.07999992,5,255,0,4.000000,10.000000,373234.906250,63.000000,1.000000
440456.89998962,4464105.58999817,6.44000006,20,255,0,4.000000,20.000000,373235.125000,59.000000,1.000000
440462.65999939,4464110.19000427,7.73000002,76,255,0,4.000000,24.000000,373235.218750,63.000000,1.000000
440465.25999023,4464103.19999878,7.07999992,48,255,0,4.000000,10.000000,373235.531250,63.000000,1.000000
440465.93999817,4464106.36999695,5.59000015,0,239,15,4.000000,26.000000,373235.625000,63.000000,1.000000
440460.11999084,4464110.89999573,6.13000011,7,255,0,4.000000,20.000000,373235.718750,58.000000,1.000000
440465.79999878,4464104.13000671,7.80000019,79,255,0,4.000000,24.000000,373236.031250,63.000000,1.000000
440457.16999390,4464107.38000671,6.80000019,36,255,0,4.000000,16.000000,373236.125000,63.000000,1.000000
440457.60000183,4464110.97000305,5.76000023,0,246,8,4.000000,16.000000,373236.218750,63.000000,1.000000
440458.22999146,4464110.64999573,5.90999985,0,253,1,4.000000,16.000000,373236.406250,63.000000,1.000000
440458.52999451,4464104.86999695,6.78000021,35,255,0,4.000000,16.000000,373236.531250,63.000000,1.000000
440465.65999939,4464103.83000366,7.44000006,64,255,0,4.000000,20.000000,373236.906250,59.000000,1.000000
440464.39998962,4464109.78000061,5.36999989,0,230,24,4.000000,2.000000,373237.218750,100.000000,1.000000
440465.88999512,4464105.17000000,5.42000008,0,232,22,4.000000,18.000000,373237.625000,100.000000,1.000000
440464.90999939,4464103.50000183,7.69999981,75,255,0,4.000000,0.000000,373237.812500,63.000000,1.000000
440464.88999512,4464102.69000427,7.19000006,53,255,0,5.000000,7.000000,373298.281250,63.000000,1.000000
440463.78998901,4464102.61000244,7.76999998,78,255,0,5.000000,17.000000,373300.062500,63.000000,1.000000
440458.64998962,4464108.49000732,6.92999983,41,255,0,5.000000,19.000000,373300.468750,63.000000,1.000000
440463.94999268,4464102.95999329,8.76000023,120,255,0,3.000000,27.000000,373172.250000,63.000000,1.000000
440458.89998962,4464107.89000122,8.27000046,99,255,0,3.000000,24.000000,373177.968750,63.000000,1.000000
440459.72999146,4464104.80999939,7.59000015,70,255,0,3.000000,6.000000,373178.562500,63.000000,1.000000
440460.13999512,4464105.36000244,8.81999969,123,255,0,3.000000,4.000000,373178.875000,49.000000,1.000000
440459.27999451,4464109.00000183,8.48999977,109,255,0,4.000000,29.000000,373230.125000,59.000000,1.000000
440458.16999390,4464105.33999817,7.28999996,57,255,0,4.000000,25.000000,373230.906250,63.000000,1.000000
440461.38999512,4464106.00999634,7.75000000,77,255,0,4.000000,27.000000,373231.000000,63.000000,1.000000
440461.63000061,4464104.83999817,8.36999989,103,255,0,4.000000,27.000000,373231.125000,63.000000,1.000000
440459.50999023,4464109.86000244,7.17000008,52,255,0,4.000000,23.000000,373231.406250,63.000000,1.000000
440459.63999512,4464106.74000732,8.82999992,123,255,0,4.000000,7.000000,373231.625000,63.000000,1.000000
440458.13999512,4464107.25000183,7.05000019,47,255,0,4.000000,21.000000,373231.718750,63.000000,1.000000
440459.18999817,4464109.30000488,8.36999989,103,255,0,4.000000,21.000000,373231.812500,63.000000,1.000000
440461.25999023,4464105.36999695,7.65999985,73,255,0,4.000000,7.000000,373231.906250,63.000000,1.000000
440463.79999878,4464103.64999573,8.13000011,93,255,0,4.000000,25.000000,373232.031250,63.000000,1.000000
